,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,delay_interval,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_rental_delay,waiting_time,impacted
0,505000,363965,mobile,canceled,,Unknown,,,,0.0,0
1,507750,269550,mobile,ended,-81.0,Early or on time,,,,0.0,0
2,508131,359049,connect,ended,70.0,1 to 2 hours,,,,0.0,0
3,508865,299063,connect,canceled,,Unknown,,,,0.0,0
4,511440,313932,mobile,ended,,Unknown,,,,0.0,0
5,511626,398802,mobile,ended,-203.0,Early or on time,,,,0.0,0
6,511639,370585,connect,ended,-15.0,Early or on time,563782.0,570.0,,0.0,0
7,512303,371242,mobile,ended,-44.0,Early or on time,,,,0.0,0
8,512475,322502,mobile,canceled,,Unknown,,,,0.0,0
9,513434,256528,connect,ended,23.0,< 30 minutes,,,,0.0,0
10,513743,330658,mobile,canceled,,Unknown,,,,0.0,0
11,514161,366037,connect,canceled,,Unknown,,,,0.0,0
12,514257,402596,mobile,ended,214.0,2 to 5 hours,,,,0.0,0
13,515147,257466,mobile,ended,15.0,< 30 minutes,,,,0.0,0
14,516586,347394,mobile,canceled,,Unknown,,,,0.0,0
15,518282,364160,connect,ended,-81.0,Early or on time,,,,0.0,0
16,518366,397217,mobile,ended,-156.0,Early or on time,,,,0.0,0
17,518895,398816,mobile,ended,66.0,1 to 2 hours,,,,0.0,0
18,518938,382243,mobile,ended,215.0,2 to 5 hours,,,,0.0,0
19,519491,312389,mobile,ended,58.0,< 1 hour,545639.0,420.0,,0.0,0
20,519795,383720,connect,ended,-159.0,Early or on time,,,,0.0,0
21,520095,404496,mobile,ended,-16.0,Early or on time,,,,0.0,0
22,520285,243659,mobile,canceled,,Unknown,,,,0.0,0
23,521156,392479,mobile,ended,,Unknown,537298.0,0.0,,0.0,0
24,521191,224745,mobile,ended,1452.0,1 day or more,,,,0.0,0
25,521352,403184,mobile,ended,-29.0,Early or on time,,,,0.0,0
26,521482,254172,mobile,canceled,,Unknown,,,,0.0,0
27,521734,190995,mobile,ended,-251.0,Early or on time,,,,0.0,0
28,522602,391287,mobile,ended,35.0,< 1 hour,,,,0.0,0
29,522717,335353,mobile,ended,,Unknown,,,,0.0,0
30,523800,352799,mobile,ended,-345.0,Early or on time,,,,0.0,0
31,524408,380247,mobile,canceled,,Unknown,,,,0.0,0
32,524422,298040,mobile,canceled,,Unknown,,,,0.0,0
33,524806,337859,mobile,ended,-26.0,Early or on time,,,,0.0,0
34,525044,349751,mobile,ended,,Unknown,510607.0,60.0,,0.0,0
35,525817,351617,mobile,ended,22.0,< 30 minutes,,,,0.0,0
36,526798,356877,mobile,ended,-15.0,Early or on time,,,,0.0,0
37,527377,306450,connect,ended,52.0,< 1 hour,,,,0.0,0
38,527569,314220,mobile,ended,-2.0,Early or on time,,,,0.0,0
39,527627,402562,connect,ended,-1.0,Early or on time,,,,0.0,0
40,528808,181625,connect,ended,-76.0,Early or on time,557404.0,330.0,,0.0,0
41,528974,373328,mobile,canceled,,Unknown,,,,0.0,0
42,529170,341798,mobile,canceled,,Unknown,,,,0.0,0
43,529193,374877,mobile,ended,15.0,< 30 minutes,,,,0.0,0
44,529288,381098,mobile,canceled,,Unknown,,,,0.0,0
45,529347,391792,mobile,ended,,Unknown,,,,0.0,0
46,529458,331480,mobile,ended,,Unknown,,,,0.0,0
47,529852,363433,mobile,ended,-68.0,Early or on time,,,,0.0,0
48,530646,259092,mobile,ended,-340.0,Early or on time,,,,0.0,0
49,530700,221171,mobile,ended,130.0,2 to 5 hours,,,,0.0,0
50,531158,404169,mobile,ended,29.0,< 30 minutes,,,,0.0,0
51,531507,355554,mobile,ended,-4.0,Early or on time,,,,0.0,0
52,531526,404562,mobile,ended,-160.0,Early or on time,,,,0.0,0
53,531955,317639,mobile,ended,-30.0,Early or on time,,,,0.0,0
54,531961,234356,mobile,ended,-47.0,Early or on time,,,,0.0,0
55,532245,361468,connect,ended,-63.0,Early or on time,,,,0.0,0
56,532416,275810,mobile,ended,-148.0,Early or on time,,,,0.0,0
57,532495,378257,mobile,ended,44.0,< 1 hour,,,,0.0,0
58,532802,373061,mobile,ended,-98.0,Early or on time,,,,0.0,0
59,533294,364052,mobile,ended,-33.0,Early or on time,,,,0.0,0
60,533303,336902,mobile,ended,-340.0,Early or on time,,,,0.0,0
61,533380,314456,connect,ended,-167.0,Early or on time,,,,0.0,0
62,533442,389958,mobile,ended,31.0,< 1 hour,,,,0.0,0
63,533611,388597,mobile,canceled,,Unknown,,,,0.0,0
64,533670,320824,connect,ended,-6.0,Early or on time,556563.0,630.0,,0.0,0
65,533683,271380,mobile,ended,79.0,1 to 2 hours,,,,0.0,0
66,533696,408511,mobile,ended,,Unknown,,,,0.0,0
67,533790,394562,mobile,ended,30.0,< 1 hour,,,,0.0,0
68,534017,370797,mobile,canceled,,Unknown,,,,0.0,0
69,534091,399459,mobile,canceled,,Unknown,,,,0.0,0
70,534611,392176,mobile,ended,33.0,< 1 hour,,,,0.0,0
71,534654,303652,mobile,ended,-52.0,Early or on time,,,,0.0,0
72,534789,395243,mobile,ended,44.0,< 1 hour,,,,0.0,0
73,534820,373893,connect,ended,-576.0,Early or on time,,,,0.0,0
74,534827,404169,mobile,ended,-7.0,Early or on time,531158.0,90.0,,0.0,0
75,534882,194379,mobile,canceled,,Unknown,,,,0.0,0
76,534926,390702,connect,ended,-178.0,Early or on time,,,,0.0,0
77,534943,358567,connect,ended,37.0,< 1 hour,,,,0.0,0
78,534956,344594,mobile,ended,24.0,< 30 minutes,,,,0.0,0
79,535071,358480,mobile,ended,40.0,< 1 hour,,,,0.0,0
80,535116,380364,mobile,ended,137.0,2 to 5 hours,,,,0.0,0
81,535139,384575,mobile,ended,249.0,2 to 5 hours,,,,0.0,0
82,535313,396552,mobile,ended,23.0,< 30 minutes,,,,0.0,0
83,535331,402083,connect,ended,-108.0,Early or on time,,,,0.0,0
84,535399,362659,mobile,ended,-6.0,Early or on time,,,,0.0,0
85,535514,348178,mobile,ended,-150.0,Early or on time,,,,0.0,0
86,535601,376381,mobile,ended,9.0,< 30 minutes,,,,0.0,0
87,535611,397814,mobile,ended,68.0,1 to 2 hours,535512.0,300.0,,0.0,0
88,535726,375944,connect,ended,38.0,< 1 hour,,,,0.0,0
89,535738,398733,mobile,ended,-1.0,Early or on time,,,,0.0,0
90,535770,352436,mobile,ended,74.0,1 to 2 hours,524703.0,60.0,,0.0,0
91,535821,381583,mobile,ended,-10.0,Early or on time,,,,0.0,0
92,536108,337311,mobile,ended,-843.0,Early or on time,,,,0.0,0
93,536190,394560,mobile,canceled,,Unknown,,,,0.0,0
94,536343,369230,mobile,ended,780.0,5 to 24 hours,,,,0.0,0
95,536444,389785,connect,ended,-130.0,Early or on time,,,,0.0,0
96,536914,363387,mobile,canceled,,Unknown,,,,0.0,0
97,536978,378931,mobile,ended,271.0,2 to 5 hours,,,,0.0,0
98,536990,193354,mobile,ended,-12.0,Early or on time,,,,0.0,0
99,537040,267735,mobile,ended,933.0,5 to 24 hours,,,,0.0,0
100,537060,223654,mobile,canceled,,Unknown,,,,0.0,0
101,537069,403304,mobile,canceled,,Unknown,,,,0.0,0
102,537082,359641,mobile,ended,1967.0,1 day or more,,,,0.0,0
103,537277,342067,mobile,ended,-125.0,Early or on time,,,,0.0,0
104,537352,349280,mobile,ended,-96.0,Early or on time,,,,0.0,0
105,537381,338052,mobile,ended,205.0,2 to 5 hours,,,,0.0,0
106,537464,300336,mobile,canceled,,Unknown,,,,0.0,0
107,537576,397470,mobile,ended,18.0,< 30 minutes,539005.0,0.0,,0.0,0
108,537627,390736,mobile,ended,48.0,< 1 hour,,,,0.0,0
109,537677,389994,mobile,ended,266.0,2 to 5 hours,,,,0.0,0
110,537705,404731,mobile,ended,36.0,< 1 hour,,,,0.0,0
111,537803,390467,connect,canceled,,Unknown,,,,0.0,0
112,537822,396544,mobile,ended,-35.0,Early or on time,,,,0.0,0
113,537923,313085,mobile,ended,80.0,1 to 2 hours,,,,0.0,0
114,538012,192803,mobile,ended,3233.0,1 day or more,,,,0.0,0
115,538105,243218,mobile,ended,-24.0,Early or on time,,,,0.0,0
116,538184,347242,mobile,ended,-129.0,Early or on time,,,,0.0,0
117,538194,380708,connect,ended,2.0,< 30 minutes,,,,0.0,0
118,538251,401964,mobile,ended,-37.0,Early or on time,,,,0.0,0
119,538328,409359,mobile,ended,8.0,< 30 minutes,,,,0.0,0
120,538437,408937,mobile,ended,-155.0,Early or on time,,,,0.0,0
121,538501,396281,mobile,ended,134.0,2 to 5 hours,,,,0.0,0
122,538569,406984,mobile,ended,-15.0,Early or on time,,,,0.0,0
123,538660,297511,mobile,ended,13.0,< 30 minutes,,,,0.0,0
124,538678,351549,connect,ended,-348.0,Early or on time,,,,0.0,0
125,538852,311437,mobile,ended,-120.0,Early or on time,,,,0.0,0
126,538882,369219,mobile,ended,85.0,1 to 2 hours,,,,0.0,0
127,539071,388231,mobile,ended,-35.0,Early or on time,,,,0.0,0
128,539196,347612,mobile,ended,66.0,1 to 2 hours,,,,0.0,0
129,539241,394966,mobile,ended,,Unknown,,,,0.0,0
130,539262,359046,mobile,ended,32.0,< 1 hour,,,,0.0,0
131,539369,390467,connect,ended,41.0,< 1 hour,,,,0.0,0
132,539396,388032,mobile,ended,3.0,< 30 minutes,,,,0.0,0
133,539451,355444,connect,ended,-536.0,Early or on time,,,,0.0,0
134,539558,370997,connect,canceled,,Unknown,,,,0.0,0
135,539688,369483,mobile,ended,216.0,2 to 5 hours,,,,0.0,0
136,539711,320531,mobile,ended,,Unknown,,,,0.0,0
137,539865,277766,mobile,ended,28.0,< 30 minutes,,,,0.0,0
138,539923,247971,mobile,ended,-51.0,Early or on time,,,,0.0,0
139,539995,258837,mobile,ended,93.0,1 to 2 hours,,,,0.0,0
140,540018,245480,mobile,ended,-196.0,Early or on time,,,,0.0,0
141,540190,365531,mobile,ended,9.0,< 30 minutes,,,,0.0,0
142,540217,398802,mobile,ended,-988.0,Early or on time,543426.0,720.0,,0.0,0
143,540298,202057,mobile,ended,-6.0,Early or on time,,,,0.0,0
144,540330,362860,mobile,ended,-18.0,Early or on time,,,,0.0,0
145,540360,404476,mobile,ended,,Unknown,,,,0.0,0
146,540369,341086,mobile,ended,-62.0,Early or on time,,,,0.0,0
147,540434,402505,mobile,ended,210.0,2 to 5 hours,,,,0.0,0
148,540479,374684,mobile,ended,12.0,< 30 minutes,539751.0,0.0,3.0,-3.0,1
149,540553,303506,mobile,ended,-24.0,Early or on time,,,,0.0,0
150,540633,396732,mobile,ended,-5.0,Early or on time,,,,0.0,0
151,540643,217777,connect,canceled,,Unknown,,,,0.0,0
152,540649,352528,connect,ended,90.0,1 to 2 hours,,,,0.0,0
153,540735,314897,mobile,ended,-14.0,Early or on time,,,,0.0,0
154,540966,405906,mobile,ended,11.0,< 30 minutes,,,,0.0,0
155,541014,321607,mobile,ended,-7.0,Early or on time,,,,0.0,0
156,541060,280562,mobile,ended,146.0,2 to 5 hours,,,,0.0,0
157,541174,284552,mobile,ended,-25.0,Early or on time,,,,0.0,0
158,541334,372670,mobile,ended,,Unknown,,,,0.0,0
159,541372,387559,mobile,ended,13.0,< 30 minutes,,,,0.0,0
160,541444,397413,mobile,ended,901.0,5 to 24 hours,,,,0.0,0
161,541590,378418,mobile,canceled,,Unknown,,,,0.0,0
162,541784,408830,mobile,ended,52.0,< 1 hour,,,,0.0,0
163,541862,382364,mobile,ended,125.0,2 to 5 hours,540607.0,0.0,1.0,-1.0,1
164,541884,398604,mobile,ended,,Unknown,,,,0.0,0
165,541948,321674,mobile,ended,165.0,2 to 5 hours,,,,0.0,0
166,541991,329496,mobile,ended,-25.0,Early or on time,,,,0.0,0
167,542033,164574,mobile,ended,,Unknown,,,,0.0,0
168,542106,392656,mobile,ended,,Unknown,,,,0.0,0
169,542149,371368,mobile,ended,83.0,1 to 2 hours,,,,0.0,0
170,542203,388268,mobile,ended,69.0,1 to 2 hours,,,,0.0,0
